UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;HeartRate;RMSSD;accelerationJerk;brakingJerk;followDistance;corneringSpeed;takeoverProbability;speedBelowLimit
P0;pilot;0;2026-07-14 23:43:30;1;sampling;TRUE;0.02;-0.01;0.068;0.225;0.699;0.063;0.375;0.03
P0;pilot;0;2026-07-14 23:43:35;2;sampling;TRUE;0.03;-0.015;0.147;0.339;0.27;0.273;0.69;0.389
P0;pilot;0;2026-07-14 23:43:40;3;sampling;TRUE;0.066;-0.033;0.786;0.644;0.202;0.634;0.055;0.005
P0;pilot;0;2026-07-14 23:43:47;4;optimization;TRUE;0.054;-0.027;0.0;0.0;1.0;0.0;0.961;0.045
P0;pilot;0;2026-07-14 23:43:56;5;optimization;TRUE;0.031;-0.015;0.0;0.32;0.334;0.056;0.307;0.305
