UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;HeartRate;RMSSD;accelerationJerk;brakingJerk;followDistance;corneringSpeed;takeoverProbability;speedBelowLimit
P0;pilot;0;2026-07-09 20:42:57;1;sampling;FALSE;0.511;0.0;0.068;0.225;0.699;0.063;0.375;0.03
P0;pilot;0;2026-07-09 20:43:27;2;sampling;TRUE;-0.073;0.0;0.147;0.339;0.27;0.273;0.69;0.389
P0;pilot;0;2026-07-09 20:45:23;3;sampling;FALSE;0.051;0.0;0.786;0.644;0.202;0.634;0.055;0.005
P0;pilot;0;2026-07-09 20:46:05;4;optimization;FALSE;0.269;0.0;1.0;0.0;1.0;1.0;1.0;1.0
P0;pilot;0;2026-07-09 20:46:36;5;optimization;FALSE;0.009;0.0;0.0;1.0;1.0;1.0;0.0;1.0
