t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs,gc0,gc1,gc2
11.031,79,22.34,44.8,6.22,2.47,1.29,0.00,373,373,373
11.053,80,22.38,44.7,7.57,3.67,1.62,0.00,373,373,373
11.075,81,22.21,45.0,5.40,4.58,1.29,0.00,373,373,373
11.097,82,22.04,45.4,6.37,3.82,1.67,0.00,373,373,373
11.120,83,22.37,44.7,5.22,3.17,1.31,0.00,373,373,373
11.142,84,21.94,45.6,7.28,3.43,1.62,0.00,373,373,373
11.164,85,22.61,44.2,5.60,4.62,1.29,0.00,373,373,373
11.187,86,22.20,45.1,6.09,2.58,1.43,0.00,373,373,373
11.209,87,22.08,45.3,6.80,4.25,1.54,0.00,373,373,373
11.231,88,22.20,45.0,5.96,2.76,1.47,0.00,373,373,373
11.253,89,22.67,44.1,6.19,3.25,1.29,0.00,373,373,373
11.277,90,23.13,43.2,6.11,3.31,1.45,0.00,373,373,373
11.299,91,21.93,45.6,5.90,3.87,1.29,0.00,373,373,373
11.321,92,22.15,45.2,6.37,0.88,1.70,0.00,373,373,373
11.343,93,22.08,45.3,6.92,3.69,1.49,0.00,373,373,373
11.365,94,22.58,44.3,6.15,3.40,1.64,0.00,373,373,373
11.387,95,22.05,45.4,5.63,4.11,1.47,0.00,373,373,373
11.410,96,22.18,45.1,5.72,3.47,1.67,0.00,373,373,373
11.432,97,22.33,44.8,7.18,3.75,1.88,0.00,373,373,373
11.454,98,22.11,45.2,5.65,3.61,1.64,0.00,373,373,373
11.476,99,22.43,44.6,5.57,4.16,1.47,0.00,373,373,373
11.499,100,22.19,45.1,5.86,3.76,1.67,0.00,373,373,373
11.521,101,22.20,45.0,5.26,4.31,1.47,0.00,373,373,373
11.543,102,22.11,45.2,7.33,3.48,2.10,0.00,373,373,373
11.566,103,22.59,44.3,5.74,3.91,1.51,0.00,373,373,373
11.588,104,21.99,45.5,5.66,3.25,1.66,0.00,373,373,373
11.610,105,22.14,45.2,5.64,3.32,1.49,0.00,373,373,373
11.632,106,22.37,44.7,6.60,3.30,1.69,0.00,373,373,373
11.654,107,22.03,45.4,7.09,3.87,1.91,0.00,373,373,373
11.676,108,22.16,45.1,5.91,3.32,1.65,0.00,373,373,373
11.699,109,22.40,44.6,5.85,3.24,1.49,0.00,373,373,373
11.721,110,22.13,45.2,5.92,3.60,1.70,0.00,373,373,373
11.743,111,22.07,45.3,6.18,4.06,1.51,0.00,373,373,373
11.765,112,22.45,44.5,6.16,3.69,1.95,0.00,373,373,373
11.787,113,22.04,45.4,5.32,4.25,1.52,0.00,373,373,373
11.810,114,22.41,44.6,5.57,3.09,1.72,0.00,373,373,373
11.832,115,22.26,44.9,5.82,3.62,1.51,0.00,373,373,373
11.854,116,22.08,45.3,6.24,3.93,1.86,0.00,373,373,373
11.882,117,27.86,35.9,5.92,3.69,1.78,0.00,373,373,373
11.909,118,27.45,36.4,5.91,3.57,1.68,0.00,374,374,374
11.932,119,22.16,45.1,5.33,2.47,1.51,0.00,374,374,374
11.954,120,22.00,45.5,10.61,1.62,1.87,0.00,374,374,374
11.976,121,22.23,45.0,15.24,3.52,1.51,0.00,374,374,374
11.998,122,22.70,44.0,7.79,4.06,1.93,0.00,374,374,374
12.020,123,21.64,46.2,6.14,4.18,1.51,0.00,374,374,374
12.042,124,22.31,44.8,7.53,3.68,1.87,0.00,374,374,374
12.065,125,22.56,44.3,6.73,3.79,1.51,0.00,374,374,374
12.087,126,22.36,44.7,6.41,4.36,1.79,0.00,374,374,374
12.109,127,21.96,45.5,7.43,2.94,0.00,0.00,374,374,374
12.132,128,22.23,45.0,7.18,1.96,1.72,0.00,374,374,374
12.154,129,22.23,45.0,7.26,2.90,1.53,0.00,374,374,374
12.176,130,22.00,45.5,6.73,3.03,1.70,0.00,374,374,374
12.199,131,22.73,44.0,6.13,3.64,1.53,0.00,374,374,374
12.220,132,21.92,45.6,7.72,2.79,2.01,0.00,374,374,374
12.243,133,22.09,45.3,6.66,3.35,1.55,0.00,374,374,374
12.265,134,22.72,44.0,7.46,2.64,1.71,0.00,374,374,374
12.288,135,22.45,44.5,6.33,2.89,1.53,0.00,374,374,374
12.310,136,22.17,45.1,6.85,3.46,1.74,0.00,374,374,374
12.332,137,21.98,45.5,8.40,3.23,1.96,0.00,374,374,374
12.354,138,22.29,44.9,6.90,2.86,1.73,0.00,374,374,374
12.376,139,22.12,45.2,6.50,2.96,1.55,0.00,374,374,374
12.399,140,22.49,44.5,6.77,4.18,1.77,0.00,374,374,374
12.421,141,22.00,45.4,5.99,3.80,1.55,0.00,374,374,374
12.443,142,22.54,44.4,8.61,3.04,2.19,0.00,374,374,374
12.484,143,40.55,24.7,6.42,3.53,1.55,0.00,374,374,374
12.507,144,23.06,43.4,6.85,3.30,1.72,0.00,374,374,374
12.529,145,22.36,44.7,6.34,22.44,1.55,0.00,374,374,374
12.551,146,22.07,45.3,6.74,3.93,1.79,0.00,374,374,374
12.596,147,44.75,22.3,8.76,3.54,4.39,0.00,374,374,374
12.640,148,44.24,22.6,6.17,2.51,1.60,0.00,374,374,374
12.685,149,44.39,22.5,7.34,13.90,1.76,0.00,374,374,374
12.729,150,44.64,22.4,6.91,14.29,1.57,0.00,374,374,374
12.751,151,21.86,45.7,7.88,14.05,2.04,0.00,374,374,374
12.774,152,22.66,44.1,7.56,14.70,4.26,0.00,374,374,374
12.798,153,24.08,41.5,6.53,2.65,1.82,0.73,374,374,374
12.820,154,21.63,46.2,8.18,3.09,2.13,0.00,374,374,374
12.841,155,21.60,46.3,6.15,2.83,3.91,0.00,374,374,374
12.864,156,23.15,43.2,9.33,1.65,1.97,0.00,374,374,374
12.887,157,22.40,44.6,6.52,4.00,1.60,0.00,374,374,374
12.932,158,44.90,22.3,6.58,4.33,1.79,0.00,374,374,374
12.976,159,44.18,22.6,8.06,2.62,1.89,0.24,374,374,374
13.020,160,44.25,22.6,7.95,14.22,1.99,0.00,374,374,374
13.065,161,44.77,22.3,6.41,13.71,1.62,0.00,374,374,374
13.109,162,44.62,22.4,7.09,12.51,1.81,0.00,374,374,374
13.154,163,44.25,22.6,9.87,14.10,2.31,0.00,374,374,374
13.199,164,44.85,22.3,7.13,13.74,1.87,0.00,374,374,374
13.242,165,43.81,22.8,7.87,9.17,2.11,0.00,374,374,374
13.287,166,44.46,22.5,12.15,13.30,2.18,0.00,374,374,374
13.332,167,45.36,22.0,8.28,13.99,2.08,0.48,374,374,374
13.376,168,44.01,22.7,6.77,12.34,1.91,0.00,374,374,374
13.420,169,44.00,22.7,9.13,14.61,2.31,0.18,374,374,374
13.465,170,44.76,22.3,7.78,13.26,2.15,0.00,374,374,374
13.509,171,44.50,22.5,6.97,13.57,1.96,0.00,374,374,374
13.554,172,44.14,22.7,9.82,14.38,2.47,0.00,374,374,374
13.598,173,44.54,22.5,7.25,13.75,1.99,0.00,374,374,374
13.643,174,44.82,22.3,7.71,12.82,2.25,0.00,374,374,374
13.687,175,44.07,22.7,8.44,13.28,2.33,0.00,374,374,374
13.731,176,44.34,22.6,8.40,14.44,2.18,0.00,374,374,374
13.776,177,44.30,22.6,7.72,13.12,2.03,0.00,374,374,374
13.820,178,44.68,22.4,9.04,14.31,2.43,0.00,374,374,374
13.865,179,44.69,22.4,7.56,13.85,2.29,0.00,374,374,374
13.909,180,43.94,22.8,6.85,13.77,2.10,0.00,374,374,374
13.953,181,44.45,22.5,9.41,14.43,2.61,0.00,374,374,374
13.998,182,44.71,22.4,7.04,13.28,2.10,0.00,374,374,374
14.043,183,44.55,22.4,7.62,13.09,2.32,0.00,374,374,374
14.087,184,44.16,22.6,8.77,14.63,2.43,0.00,374,374,374
14.132,185,45.09,22.2,7.54,12.96,2.29,0.00,374,374,374
14.176,186,44.09,22.7,7.77,13.05,2.14,0.00,374,374,374
14.220,187,44.26,22.6,8.36,14.67,2.55,0.00,374,374,374
14.265,188,44.89,22.3,8.23,12.55,2.38,0.00,374,374,374
14.309,189,43.95,22.8,7.82,13.11,2.20,0.00,374,374,374
14.354,190,44.63,22.4,10.04,14.85,2.73,0.00,374,374,374
14.398,191,44.47,22.5,7.13,12.76,2.19,0.00,374,374,374
14.443,192,44.50,22.5,7.74,13.50,2.42,0.00,374,374,374
14.487,193,44.13,22.7,8.63,13.57,2.57,0.00,374,374,374
14.532,194,45.04,22.2,7.67,14.41,2.43,0.00,374,374,374
14.576,195,43.90,22.8,7.01,12.94,2.24,0.00,374,374,374
14.620,196,44.50,22.5,8.67,13.93,2.74,0.00,374,374,374
14.665,197,44.59,22.4,7.82,13.27,2.52,0.00,374,374,374
14.709,198,44.28,22.6,7.03,13.10,2.36,0.00,374,374,374
14.754,199,44.61,22.4,9.82,13.80,2.91,0.00,374,374,374
14.798,200,44.46,22.5,7.10,15.20,2.36,0.00,374,374,374
14.842,201,44.07,22.7,7.60,13.51,2.60,0.00,374,374,374
14.887,202,44.39,22.5,8.58,13.68,2.76,0.00,374,374,374
14.932,203,44.87,22.3,7.80,13.77,2.57,0.00,374,374,374
14.976,204,44.52,22.5,6.50,13.24,2.41,0.00,374,374,374
15.020,205,44.20,22.6,8.55,14.63,2.86,0.00,374,374,374
15.065,206,44.42,22.5,7.44,13.78,2.62,0.00,374,374,374
15.109,207,44.28,22.6,7.33,12.52,2.46,0.00,374,374,374
15.153,208,44.46,22.5,9.47,13.67,3.03,0.00,374,374,374
15.199,209,45.05,22.2,7.21,13.89,2.46,0.00,374,374,374
15.242,210,43.89,22.8,7.58,13.73,2.71,0.00,374,374,374
15.288,211,45.31,22.1,8.21,14.32,2.87,0.00,374,374,374
15.332,212,44.69,22.4,8.01,13.99,2.71,0.00,374,374,374
15.377,213,44.31,22.6,6.92,13.51,2.53,0.00,374,374,374
15.421,214,44.34,22.6,8.53,12.85,5.57,0.00,374,374,374
15.465,215,44.04,22.7,8.02,13.29,2.74,0.00,374,374,374
15.510,216,44.47,22.5,7.57,11.73,2.60,0.00,374,374,374
15.554,217,44.49,22.5,9.97,13.11,5.85,0.00,374,374,374
15.599,218,44.63,22.4,7.39,13.30,2.58,0.00,374,374,374
15.643,219,44.19,22.6,8.05,13.28,2.83,0.00,374,374,374
15.687,220,44.50,22.5,8.05,13.64,5.66,0.00,374,374,374
15.732,221,44.37,22.5,7.74,13.41,2.84,0.00,374,374,374
15.776,222,44.18,22.6,6.91,13.21,2.65,0.00,374,374,374
15.825,223,49.20,20.3,8.17,13.58,5.81,0.00,374,374,374
15.865,224,40.35,24.8,7.66,13.99,2.87,0.00,374,374,374
15.910,225,45.03,22.2,6.78,13.66,2.71,0.00,374,374,374
15.953,226,42.95,23.3,8.96,9.42,6.05,0.00,374,374,374
15.998,227,44.96,22.2,6.77,13.33,2.71,0.03,374,374,374
16.043,228,44.99,22.2,7.52,12.76,2.97,0.00,374,374,374
16.087,229,43.98,22.7,7.96,13.97,5.88,0.00,374,374,374
16.132,230,44.34,22.6,8.48,14.42,2.93,0.00,374,374,374
16.176,231,44.38,22.5,7.09,12.95,2.79,0.00,374,374,374
16.220,232,44.39,22.5,8.31,13.78,5.98,0.00,374,374,374
16.265,233,44.60,22.4,7.43,13.77,3.01,0.00,374,374,374
16.310,234,44.49,22.5,7.18,13.83,2.82,0.00,374,374,374
16.353,235,43.92,22.8,8.42,13.85,6.25,0.00,374,374,374
16.399,236,45.18,22.1,6.65,13.84,2.82,0.00,374,374,374
16.443,237,44.82,22.3,7.44,12.75,3.01,0.00,374,374,374
16.490,238,46.42,21.5,8.54,1.49,6.00,0.00,374,374,374
16.532,239,42.44,23.6,7.40,14.26,0.51,0.00,375,375,375
16.576,240,43.91,22.8,7.09,9.64,2.83,0.00,375,375,375
16.620,241,44.12,22.7,12.76,5.35,6.41,0.00,375,375,375
16.665,242,44.52,22.5,17.01,13.11,2.93,0.00,375,375,375
16.709,243,44.43,22.5,7.66,12.69,2.97,0.00,375,375,375
16.755,244,45.26,22.1,10.02,14.61,6.38,0.00,375,375,375
16.800,245,45.10,22.2,7.61,13.80,2.90,0.00,375,375,375
16.843,246,43.36,23.1,8.35,12.47,3.17,0.00,375,375,375
16.889,247,45.58,21.9,9.49,12.72,6.32,0.00,375,375,375
16.932,248,43.03,23.2,8.32,11.90,3.16,0.00,375,375,375
16.976,249,44.07,22.7,7.73,12.19,3.01,0.00,375,375,375
17.021,250,44.86,22.3,9.63,11.25,6.33,0.00,375,375,375
17.065,251,44.29,22.6,8.89,13.21,3.16,0.00,375,375,375
17.109,252,44.50,22.5,7.95,13.25,3.01,0.00,375,375,375
17.154,253,44.70,22.4,10.93,13.55,6.53,0.00,375,375,375
17.198,254,44.30,22.6,7.51,14.40,3.01,0.00,375,375,375
17.243,255,44.32,22.6,8.86,11.51,3.29,0.00,375,375,375
17.287,256,44.10,22.7,10.55,13.67,6.52,0.00,375,375,375
17.331,257,44.45,22.5,8.31,14.57,3.27,0.00,375,375,375
17.377,258,45.90,21.8,7.49,13.23,3.06,0.00,375,375,375
17.421,259,43.78,22.8,9.18,15.17,6.64,0.00,375,375,375
17.465,260,44.50,22.5,7.73,13.54,3.25,0.00,375,375,375
17.510,261,44.51,22.5,7.96,11.96,3.10,0.00,375,375,375
17.554,262,44.46,22.5,10.24,13.25,6.72,0.00,375,375,375
17.599,263,44.43,22.5,7.28,12.56,3.09,0.00,375,375,375
17.644,264,44.78,22.3,8.73,12.76,3.32,0.00,375,375,375
17.688,265,44.04,22.7,9.36,13.73,6.48,0.00,375,375,375
17.732,266,44.31,22.6,8.35,13.45,3.25,0.00,375,375,375
17.776,267,44.41,22.5,7.27,11.07,3.09,0.00,375,375,375
17.821,268,44.74,22.3,11.31,13.71,6.84,0.00,375,375,375
17.865,269,43.91,22.8,7.38,13.20,3.16,0.00,375,375,375
17.910,270,45.10,22.2,7.38,12.41,3.20,0.00,375,375,375
17.954,271,44.13,22.7,10.37,12.99,6.86,0.00,375,375,375
17.999,272,45.04,22.2,7.00,14.28,3.18,0.00,375,375,375
18.043,273,43.65,22.9,8.07,13.13,3.39,0.00,375,375,375
18.087,274,44.15,22.6,9.01,13.12,6.64,0.00,375,375,375
18.131,275,44.04,22.7,8.58,12.89,3.34,0.00,375,375,375
18.176,276,44.77,22.3,7.33,13.94,3.19,0.00,375,375,375
18.220,277,44.28,22.6,8.98,13.98,6.67,0.00,375,375,375
18.264,278,44.26,22.6,7.76,14.64,3.34,0.00,375,375,375
18.310,279,45.17,22.1,7.12,13.75,3.19,0.00,375,375,375
18.354,280,44.44,22.5,9.67,15.30,6.82,0.00,375,375,375
18.399,281,44.74,22.4,6.75,14.46,3.16,0.00,375,375,375
18.443,282,44.20,22.6,7.54,14.63,3.44,0.00,375,375,375
18.487,283,44.39,22.5,8.44,13.71,7.53,0.00,375,375,375
18.532,284,44.55,22.4,7.54,13.19,3.44,0.00,375,375,375
18.575,285,43.48,23.0,7.05,12.90,3.28,0.00,375,375,375
18.620,286,45.00,22.2,8.26,13.32,6.88,0.00,375,375,375
18.665,287,44.41,22.5,7.71,13.94,3.44,0.00,375,375,375
18.710,288,45.01,22.2,6.78,14.45,7.01,0.00,375,375,375
18.753,289,43.62,22.9,9.10,14.43,0.00,0.00,375,375,375
18.799,290,45.25,22.1,6.73,13.46,3.25,0.00,375,375,375
18.843,291,44.26,22.6,8.39,11.79,3.44,0.00,375,375,375
18.887,292,44.19,22.6,9.29,14.89,6.82,0.00,375,375,375
18.932,293,44.75,22.3,7.89,14.13,3.44,0.00,375,375,375
18.976,294,44.30,22.6,7.38,14.55,3.29,0.00,375,375,375
19.021,295,44.59,22.4,9.07,14.16,6.95,0.00,375,375,375
19.065,296,44.39,22.5,8.51,14.31,3.44,0.00,375,375,375
19.110,297,44.53,22.5,7.06,11.71,3.29,0.00,375,375,375
19.154,298,44.26,22.6,10.32,12.68,7.07,0.00,375,375,375
19.199,299,44.66,22.4,7.32,13.20,3.28,0.00,375,375,375
19.243,300,44.32,22.6,8.51,11.78,3.58,0.00,375,375,375
19.288,301,44.54,22.4,9.08,13.89,7.06,0.00,375,375,375
19.331,302,43.89,22.8,8.01,14.38,3.57,0.00,375,375,375
19.376,303,44.27,22.6,7.15,13.22,3.39,0.00,375,375,375
19.421,304,44.93,22.3,9.01,13.20,7.13,0.00,375,375,375
19.465,305,44.36,22.5,8.28,13.65,3.54,0.00,375,375,375
19.509,306,44.28,22.6,7.33,13.25,3.39,0.00,375,375,375
19.554,307,44.85,22.3,9.93,14.07,7.27,0.00,375,375,375
19.598,308,44.08,22.7,7.36,14.84,3.39,0.00,375,375,375
19.643,309,44.59,22.4,8.16,12.97,3.62,0.07,375,375,375
19.687,310,44.23,22.6,8.57,11.96,6.46,0.00,375,375,375
19.731,311,44.31,22.6,9.10,13.90,3.54,0.00,375,375,375
19.776,312,44.43,22.5,7.41,9.72,3.39,0.00,375,375,375
19.820,313,44.49,22.5,12.03,14.69,7.25,0.00,375,375,375
19.865,314,45.17,22.1,7.34,15.14,3.38,0.00,375,375,375
19.910,315,44.34,22.6,7.08,13.99,3.44,0.00,375,375,375
19.955,316,45.32,22.1,8.81,15.02,7.26,0.00,375,375,375
19.999,317,43.60,22.9,7.27,13.36,3.38,0.00,375,375,375
20.043,318,44.57,22.4,7.72,13.81,3.59,0.00,375,375,375
20.088,319,44.71,22.4,7.31,12.42,7.04,0.00,375,375,375
20.133,320,44.89,22.3,7.66,3.10,3.54,0.00,375,375,375
20.177,321,43.87,22.8,7.46,5.48,0.90,0.00,375,375,375
20.222,322,45.12,22.2,8.35,13.57,1.41,0.00,375,375,375
20.266,323,44.35,22.6,7.46,13.96,3.55,0.00,375,375,375
20.310,324,43.83,22.8,6.72,14.12,3.34,0.00,375,375,375
20.355,325,45.14,22.2,9.46,2.66,7.35,0.00,375,375,375
20.400,326,44.50,22.5,6.71,15.09,0.92,0.00,375,375,375
20.444,327,44.78,22.3,6.90,12.77,3.42,0.00,375,375,375
20.488,328,43.85,22.8,8.27,12.90,7.24,0.00,375,375,375
20.533,329,44.58,22.4,8.21,13.60,3.65,0.00,375,375,375
20.577,330,44.24,22.6,6.81,12.98,3.47,0.00,375,375,375
20.622,331,44.60,22.4,9.05,14.27,7.39,0.00,375,375,375
20.666,332,44.27,22.6,7.64,13.32,3.68,0.00,375,375,375
20.710,333,44.35,22.5,7.22,12.84,3.46,0.00,375,375,375
20.755,334,44.67,22.4,10.08,13.66,7.45,0.00,375,375,375
20.799,335,43.95,22.8,6.58,14.30,3.46,0.00,375,375,375
20.844,336,44.81,22.3,7.08,13.36,3.65,0.00,375,375,375
20.889,337,45.58,21.9,7.86,13.87,7.24,0.00,375,375,375
20.932,338,43.07,23.2,6.93,13.88,3.65,0.00,375,375,375
20.978,339,45.55,22.0,6.94,13.67,3.46,0.00,375,375,375
21.025,340,46.99,21.3,7.66,12.25,7.74,0.00,375,375,375
21.068,341,42.93,23.3,7.34,15.17,3.65,0.00,375,375,375
21.113,342,45.09,22.2,6.56,8.97,3.46,1.34,375,375,375
21.159,343,45.70,21.9,11.36,8.48,8.25,2.85,375,375,375
21.201,344,42.21,23.7,7.59,9.70,3.46,2.55,375,375,375
21.245,345,44.39,22.5,8.53,7.63,3.68,0.87,375,375,375
21.291,346,46.09,21.7,9.46,7.62,7.31,1.34,375,375,375
21.335,347,43.27,23.1,7.98,12.87,3.68,1.19,375,375,375
21.377,348,41.97,23.8,7.82,2.90,3.36,1.65,375,375,375
21.424,349,47.01,21.3,9.91,1.61,1.00,5.49,375,375,375
21.468,350,44.08,22.7,7.87,1.17,0.68,4.13,375,375,375
21.512,351,44.33,22.6,7.67,6.14,0.41,3.26,375,375,375
21.559,352,46.87,21.3,10.71,13.96,8.01,1.43,375,375,375
21.604,353,44.69,22.4,7.33,10.67,3.66,3.48,375,375,375
21.647,354,43.65,22.9,9.18,8.48,0.00,2.28,375,375,375
21.690,355,42.49,23.5,9.56,9.24,7.11,3.68,375,375,375
21.734,356,44.22,22.6,8.07,9.58,3.68,0.83,375,375,375
21.778,357,44.16,22.6,7.18,8.41,3.47,1.20,375,375,375
21.823,358,45.12,22.2,9.80,12.69,7.50,2.34,375,375,375
21.876,359,53.14,18.8,7.79,13.62,3.72,0.58,375,375,375
21.964,360,87.90,11.4,6.92,13.30,8.23,0.00,375,375,375
