t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs,gc0,gc1,gc2
4.895,0,4895.08,0.2,0.02,0.35,0.00,0.00,372,372,372
6.109,1,1213.98,0.8,0.00,0.00,0.00,0.00,372,372,372
6.411,2,302.32,3.3,0.00,0.00,0.00,0.00,373,373,373
6.806,3,394.24,2.5,0.04,8.13,0.00,0.00,373,373,373
7.212,4,406.26,2.5,214.48,3.11,0.00,0.00,373,373,373
7.633,5,421.37,2.4,39.42,3.66,0.80,0.00,373,373,373
8.055,6,422.15,2.4,23.42,188.46,0.88,1.62,373,373,373
8.478,7,422.73,2.4,8.45,199.87,3.68,2.04,373,373,373
8.566,8,87.89,11.4,9.06,198.91,4.26,0.00,373,373,373
8.655,9,89.14,11.2,8.68,202.27,6.66,4.71,373,373,373
8.722,10,66.61,15.0,8.77,31.39,6.98,1.88,373,373,373
8.789,11,66.79,15.0,9.71,32.03,7.39,5.18,373,373,373
8.855,12,66.24,15.1,7.39,20.63,6.58,3.48,373,373,373
8.931,13,75.78,13.2,9.23,23.00,15.57,4.89,373,373,373
8.988,14,57.58,17.4,7.06,20.71,6.07,5.48,373,373,373
9.055,15,66.53,15.0,8.73,26.40,15.71,4.84,373,373,373
9.122,16,66.93,14.9,8.97,10.79,5.51,5.45,373,373,373
9.189,17,66.89,14.9,7.82,25.04,14.47,3.65,373,373,373
9.256,18,67.74,14.8,7.21,23.73,5.52,0.00,373,373,373
9.322,19,65.30,15.3,8.31,23.49,5.79,0.00,373,373,373
9.378,20,56.28,17.8,7.03,23.53,4.54,0.00,373,373,373
9.421,21,42.65,23.4,8.07,23.96,5.74,0.00,373,373,373
9.465,22,44.75,22.3,7.14,24.65,5.09,0.00,373,373,373
9.510,23,44.58,22.4,7.06,12.55,4.94,0.00,373,373,373
9.554,24,44.22,22.6,7.25,15.12,5.02,0.00,373,373,373
9.598,25,44.39,22.5,6.33,13.90,10.94,0.00,373,373,373
9.643,26,44.56,22.4,7.40,13.81,1.85,0.00,373,373,373
9.688,27,44.54,22.5,6.93,13.88,1.45,0.00,373,373,373
9.732,28,44.23,22.6,6.83,14.54,1.62,0.00,373,373,373
9.777,29,44.93,22.3,6.31,13.89,1.66,0.00,373,373,373
9.821,30,44.19,22.6,6.47,14.10,1.47,0.00,373,373,373
9.865,31,44.30,22.6,6.76,14.96,1.65,0.00,373,373,373
9.887,32,22.01,45.4,6.52,15.47,1.69,0.00,373,373,373
9.909,33,22.20,45.0,7.14,14.88,1.62,0.00,373,373,373
9.932,34,22.36,44.7,6.07,3.16,1.44,0.00,373,373,373
9.954,35,22.25,44.9,7.59,4.19,2.32,0.00,373,373,373
9.977,36,23.05,43.4,5.72,2.92,1.29,0.00,373,373,373
9.999,37,22.13,45.2,6.63,3.46,1.47,0.00,373,373,373
10.021,38,22.02,45.4,5.54,2.61,1.29,0.00,373,373,373
10.043,39,21.69,46.1,7.41,3.25,1.65,0.00,373,373,373
10.066,40,22.90,43.7,6.20,3.50,1.53,0.00,373,373,373
10.088,41,22.51,44.4,5.76,3.23,1.89,0.00,373,373,373
10.116,42,27.53,36.3,5.51,4.83,1.29,0.00,373,373,373
10.138,43,21.69,46.1,6.03,2.31,1.47,0.00,373,373,373
10.160,44,22.18,45.1,6.32,10.16,1.29,0.00,373,373,373
10.183,45,22.88,43.7,6.45,3.01,1.65,0.00,373,373,373
10.205,46,22.34,44.8,5.66,4.46,1.29,0.00,373,373,373
10.250,47,44.55,22.4,5.86,2.19,1.47,0.00,373,373,373
10.294,48,44.37,22.5,6.92,3.27,1.29,0.00,373,373,373
10.338,49,43.93,22.8,6.06,13.94,1.44,0.00,373,373,373
10.383,50,44.85,22.3,6.48,13.84,1.53,0.00,373,373,373
10.405,51,22.10,45.3,7.25,14.18,1.62,0.00,373,373,373
10.427,52,22.24,45.0,6.46,14.74,1.44,0.00,373,373,373
10.449,53,21.83,45.8,6.62,2.81,1.71,0.00,373,373,373
10.471,54,22.20,45.0,6.94,2.06,1.62,0.00,373,373,373
10.493,55,22.42,44.6,6.02,2.84,1.29,0.00,373,373,373
10.515,56,22.02,45.4,6.40,3.38,1.46,0.00,373,373,373
10.538,57,22.24,45.0,7.10,4.22,1.70,0.00,373,373,373
10.560,58,21.90,45.7,5.87,3.16,1.44,0.00,373,373,373
10.582,59,22.52,44.4,5.60,4.02,1.29,0.00,373,373,373
10.605,60,22.44,44.6,6.19,3.37,1.47,0.00,373,373,373
10.626,61,21.63,46.2,5.48,3.17,1.29,0.00,373,373,373
10.649,62,22.42,44.6,7.48,3.50,1.85,0.00,373,373,373
10.672,63,23.34,42.8,5.53,3.84,1.29,0.00,373,373,373
10.697,64,24.79,40.3,5.90,4.34,1.44,0.00,373,373,373
10.719,65,22.50,44.4,5.87,3.35,1.28,0.00,373,373,373
10.741,66,21.54,46.4,7.65,2.66,1.62,0.00,373,373,373
10.764,67,23.09,43.3,9.75,3.33,1.54,0.00,373,373,373
10.785,68,21.48,46.6,5.85,3.37,1.44,0.00,373,373,373
10.808,69,22.44,44.6,5.65,4.57,1.29,0.00,373,373,373
10.830,70,22.50,44.4,6.74,1.85,1.47,0.00,373,373,373
10.852,71,21.76,46.0,6.39,4.02,1.29,0.00,373,373,373
10.874,72,22.22,45.0,6.28,2.58,1.68,0.27,373,373,373
10.897,73,22.71,44.0,6.32,3.41,1.29,0.00,373,373,373
10.919,74,22.12,45.2,5.94,2.42,1.47,0.00,373,373,373
10.941,75,22.09,45.3,6.59,2.08,1.29,0.00,373,373,373
10.964,76,23.26,43.0,6.54,3.89,1.44,0.00,373,373,373
10.987,77,22.13,45.2,6.22,4.52,1.55,0.00,373,373,373
11.008,78,21.90,45.7,5.65,3.86,1.48,0.00,373,373,373
