t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs,gc0,gc1,gc2
4.870,0,4870.28,0.2,0.00,0.00,0.00,0.00,393,393,393
6.042,1,1171.53,0.9,0.00,0.00,0.00,0.00,393,393,393
6.350,2,308.57,3.2,0.00,0.00,0.00,0.00,393,393,393
6.778,3,427.17,2.3,0.15,2.46,0.00,0.00,394,394,394
7.179,4,401.91,2.5,204.10,1.22,0.00,0.00,394,394,394
7.602,5,422.62,2.4,32.13,1.18,0.04,0.00,394,394,394
8.019,6,417.06,2.4,16.08,174.31,0.09,0.19,394,394,394
8.441,7,421.96,2.4,9.27,204.10,5.06,0.00,394,394,394
8.529,8,87.92,11.4,7.97,187.22,3.76,2.81,394,394,394
8.618,9,88.61,11.3,7.34,0.62,5.78,13.90,394,394,394
8.706,10,88.78,11.3,7.06,0.66,0.87,8.49,394,394,394
8.795,11,88.97,11.2,7.72,34.49,0.89,5.21,394,394,394
8.862,12,66.42,15.1,6.68,2.76,6.27,0.00,394,394,394
8.929,13,67.26,14.9,6.96,2.92,0.85,0.00,394,394,394
8.995,14,66.36,15.1,7.06,0.71,0.83,0.00,394,394,394
9.062,15,66.61,15.0,6.75,2.97,0.85,0.32,394,394,394
9.128,16,66.42,15.1,6.14,2.06,0.80,0.00,394,394,394
9.196,17,67.06,14.9,6.92,2.32,0.84,0.18,394,394,394
9.262,18,66.40,15.1,6.96,0.64,0.82,0.00,394,394,394
9.329,19,66.82,15.0,5.93,2.88,0.81,0.00,394,394,394
9.395,20,66.46,15.0,7.13,0.66,0.82,0.00,394,394,394
9.462,21,66.89,14.9,7.26,1.45,0.78,6.13,394,394,394
9.529,22,66.74,15.0,5.81,2.70,0.85,0.00,394,394,394
9.595,23,66.46,15.0,6.59,2.71,0.82,0.00,394,394,394
9.662,24,66.68,15.0,6.73,2.55,0.20,0.00,394,394,394
9.706,25,44.26,22.6,6.37,2.71,0.21,0.53,394,394,394
9.751,26,44.36,22.5,6.71,2.87,0.20,0.00,394,394,394
9.795,27,44.42,22.5,6.75,2.07,0.20,0.14,394,394,394
9.840,28,44.50,22.5,5.97,2.61,0.21,0.00,394,394,394
9.884,29,44.89,22.3,6.76,2.55,0.20,0.00,394,394,394
9.929,30,44.30,22.6,5.95,2.76,0.21,0.00,394,394,394
9.973,31,44.53,22.5,6.68,2.74,0.20,0.00,394,394,394
10.017,32,44.25,22.6,6.20,2.84,0.20,0.00,394,394,394
10.062,33,44.13,22.7,6.63,2.60,0.20,0.00,394,394,394
10.106,34,44.69,22.4,6.30,1.94,0.20,0.00,394,394,394
10.151,35,44.28,22.6,7.41,2.94,0.21,0.00,394,394,394
10.195,36,44.66,22.4,5.92,2.30,0.20,0.00,394,394,394
10.239,37,44.11,22.7,5.83,2.00,0.20,0.25,394,394,394
10.284,38,44.80,22.3,6.94,2.71,0.20,0.00,394,394,394
10.328,39,44.21,22.6,6.04,2.58,0.20,0.00,394,394,394
10.373,40,44.63,22.4,6.53,2.78,0.21,0.00,394,394,394
10.418,41,44.86,22.3,6.15,2.87,0.20,0.00,394,394,394
10.462,42,43.93,22.8,7.10,2.69,0.20,0.00,394,394,394
10.506,43,44.47,22.5,5.97,2.51,0.20,0.00,394,394,394
10.551,44,44.65,22.4,6.90,2.99,0.20,0.42,394,394,394
10.595,45,44.21,22.6,6.28,2.51,0.20,0.00,394,394,394
10.640,46,44.44,22.5,5.82,3.23,0.20,0.14,394,394,394
10.686,47,46.05,21.7,7.28,2.66,0.20,0.00,394,394,394
10.728,48,42.85,23.3,5.62,3.02,0.20,0.00,394,394,394
10.773,49,44.31,22.6,6.60,2.73,0.20,0.00,394,394,394
10.817,50,44.53,22.5,7.40,2.36,0.20,0.00,394,394,394
10.862,51,44.30,22.6,6.59,2.68,0.20,0.00,394,394,394
10.906,52,44.75,22.3,5.99,2.00,0.21,0.00,394,394,394
10.951,53,44.37,22.5,7.20,2.73,0.20,0.00,394,394,394
10.995,54,44.47,22.5,5.73,2.53,0.21,0.00,394,394,394
11.039,55,44.20,22.6,5.83,2.66,0.20,0.33,394,394,394
11.084,56,44.72,22.4,6.70,2.52,0.20,0.00,394,394,394
11.128,57,44.10,22.7,5.74,2.44,0.20,0.00,394,394,394
11.173,58,44.69,22.4,7.06,3.10,0.20,0.00,394,394,394
11.217,59,44.40,22.5,5.72,2.93,0.21,0.00,394,394,394
11.262,60,44.54,22.4,6.56,2.22,0.20,0.00,394,394,394
