t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs,gc0,gc1,gc2
11.306,61,44.40,22.5,5.79,3.04,0.20,0.00,394,394,394
11.351,62,44.40,22.5,6.82,2.98,0.28,0.00,394,394,394
11.395,63,44.38,22.5,6.30,3.13,0.28,0.00,394,394,394
11.439,64,44.42,22.5,5.78,2.96,0.28,0.00,394,394,394
11.484,65,44.65,22.4,7.00,2.74,0.28,0.00,394,394,394
11.529,66,44.49,22.5,5.71,2.94,0.28,0.00,394,394,394
11.573,67,44.34,22.6,6.97,2.95,0.28,0.00,394,394,394
11.617,68,44.55,22.4,5.88,2.95,0.29,0.00,394,394,394
11.662,69,44.06,22.7,6.63,2.92,0.28,0.00,394,394,394
11.707,70,45.04,22.2,6.26,2.79,0.29,0.00,394,394,394
11.751,71,44.42,22.5,7.07,3.03,0.29,0.00,394,394,394
11.796,72,44.70,22.4,5.83,2.94,0.30,0.00,394,394,394
11.840,73,44.21,22.6,6.11,3.01,0.29,0.00,394,394,394
11.885,74,44.71,22.4,7.26,2.84,0.29,0.00,394,394,394
11.929,75,44.42,22.5,5.93,2.87,0.29,0.00,394,394,394
11.973,76,44.08,22.7,6.58,2.89,0.29,0.00,394,394,394
12.017,77,44.22,22.6,5.37,2.76,0.30,0.00,394,394,394
12.062,78,44.52,22.5,6.47,2.95,0.30,0.00,394,394,394
12.106,79,44.30,22.6,5.90,2.78,0.30,0.00,394,394,394
12.151,80,44.71,22.4,6.99,3.11,0.30,0.00,394,394,394
12.210,81,59.10,16.9,6.00,3.06,0.30,0.00,394,394,394
12.268,82,58.35,17.1,6.17,3.03,0.30,0.00,394,394,394
12.319,83,50.68,19.7,6.71,2.77,0.30,0.00,394,394,394
12.382,84,63.27,15.8,5.91,3.86,0.30,0.00,394,394,394
12.450,85,67.58,14.8,20.18,3.21,4.70,1.07,394,394,394
12.522,86,71.69,13.9,11.25,2.98,0.35,0.00,395,395,395
12.580,87,58.53,17.1,10.56,0.59,0.33,0.00,395,395,395
12.646,88,65.50,15.3,11.99,20.32,0.32,2.68,395,395,395
12.712,89,66.76,15.0,10.80,2.96,2.57,0.00,395,395,395
12.780,90,67.67,14.8,17.67,2.92,0.32,0.00,395,395,395
12.847,91,67.37,14.8,7.41,2.53,0.36,0.00,395,395,395
12.915,92,67.70,14.8,5.61,2.64,0.34,0.00,395,395,395
12.957,93,42.24,23.7,6.85,2.53,0.35,0.00,395,395,395
13.002,94,44.79,22.3,6.86,23.63,0.33,0.00,395,395,395
13.046,95,44.17,22.6,6.88,10.44,2.74,0.00,395,395,395
13.091,96,44.51,22.5,6.76,14.41,2.89,0.00,395,395,395
13.136,97,45.61,21.9,5.91,2.67,2.74,0.00,395,395,395
13.180,98,43.30,23.1,6.96,2.71,0.34,0.00,395,395,395
13.223,99,43.50,23.0,5.89,1.45,0.34,0.00,395,395,395
13.269,100,45.43,22.0,6.69,2.69,0.34,0.00,395,395,395
13.313,101,44.74,22.4,5.68,2.43,0.34,0.00,395,395,395
13.357,102,43.54,23.0,6.81,2.20,0.35,0.00,395,395,395
13.402,103,44.60,22.4,6.08,2.41,0.35,0.00,395,395,395
13.448,104,46.14,21.7,6.08,15.06,0.35,0.00,395,395,395
13.490,105,42.14,23.7,6.69,2.75,3.72,0.00,395,395,395
13.543,106,53.29,18.8,5.59,2.83,0.35,0.00,395,395,395
13.582,107,38.92,25.7,6.80,13.86,0.38,0.00,395,395,395
13.626,108,44.19,22.6,5.92,14.82,3.72,0.00,395,395,395
13.672,109,45.72,21.9,6.58,2.97,2.91,0.00,395,395,395
13.716,110,43.84,22.8,6.12,2.89,0.43,0.00,395,395,395
13.761,111,44.81,22.3,6.55,2.44,0.40,0.00,395,395,395
13.805,112,44.71,22.4,5.69,3.13,0.40,0.00,395,395,395
13.849,113,43.39,23.0,6.63,2.84,0.38,0.00,395,395,395
13.893,114,44.51,22.5,5.57,1.94,0.36,0.00,395,395,395
13.938,115,44.97,22.2,6.17,14.92,0.39,0.00,395,395,395
13.983,116,44.48,22.5,6.73,15.44,4.02,0.00,395,395,395
14.027,117,44.30,22.6,6.04,2.43,3.94,0.00,395,395,395
14.072,118,45.46,22.0,6.90,2.44,0.37,0.00,395,395,395
14.116,119,44.09,22.7,5.81,2.69,0.36,0.00,395,395,395
14.161,120,44.56,22.4,6.57,2.92,0.40,0.00,395,395,395
14.205,121,43.88,22.8,6.00,13.09,0.40,0.00,395,395,395
14.249,122,44.36,22.5,6.88,0.19,3.81,0.00,395,395,395
14.294,123,44.41,22.5,6.05,0.18,0.05,0.00,395,395,395
14.337,124,43.58,22.9,6.05,0.13,0.05,0.22,395,395,395
14.382,125,44.64,22.4,6.44,0.16,0.05,0.00,395,395,395
14.426,126,44.45,22.5,5.77,2.56,0.05,0.00,395,395,395
14.471,127,44.66,22.4,6.29,2.81,0.40,0.00,395,395,395
14.515,128,44.07,22.7,5.50,2.47,0.40,0.00,395,395,395
14.560,129,44.66,22.4,6.82,2.13,0.39,0.00,395,395,395
14.604,130,44.47,22.5,6.01,2.10,0.37,0.00,395,395,395
14.649,131,44.46,22.5,5.49,2.75,0.36,0.15,395,395,395
14.693,132,44.45,22.5,6.61,1.95,0.36,0.00,395,395,395
14.738,133,44.43,22.5,5.78,2.79,0.37,0.00,395,395,395
14.782,134,44.49,22.5,7.45,1.48,0.36,0.00,395,395,395
14.826,135,44.10,22.7,5.84,2.83,0.36,0.00,395,395,395
14.871,136,44.69,22.4,6.48,2.70,0.37,0.00,395,395,395
14.915,137,44.19,22.6,5.73,2.70,0.37,0.14,395,395,395
14.960,138,44.52,22.5,6.49,2.75,0.37,0.00,395,395,395
15.004,139,44.56,22.4,5.73,2.54,0.37,0.00,395,395,395
15.056,140,52.17,19.2,5.43,2.70,0.37,0.00,395,395,395
15.105,141,48.70,20.5,6.83,2.09,0.37,0.00,395,395,395
15.189,142,83.95,11.9,5.89,2.59,0.37,0.12,395,395,395
