t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs
13.361,168,44.09,22.7,9.07,13.60,2.43,0.00
13.405,169,44.60,22.4,7.91,14.79,2.26,0.00
13.450,170,44.72,22.4,7.01,12.81,4.56,0.00
13.495,171,45.15,22.1,9.02,13.82,2.73,0.00
13.539,172,43.73,22.9,7.58,14.37,2.20,0.00
13.584,173,44.85,22.3,7.78,12.69,2.41,0.00
13.628,174,44.24,22.6,8.99,11.55,2.53,0.00
13.673,175,44.66,22.4,9.22,14.02,2.50,0.00
13.717,176,43.96,22.7,7.41,13.03,4.69,0.00
13.761,177,44.19,22.6,9.17,13.16,2.64,0.00
13.805,178,44.55,22.4,8.59,12.44,2.48,0.00
13.850,179,44.42,22.5,7.12,12.48,2.33,0.00
13.894,180,44.73,22.4,9.58,14.12,2.90,0.00
13.939,181,44.23,22.6,7.01,14.26,2.35,0.00
13.983,182,44.84,22.3,7.70,13.01,4.84,0.00
14.028,183,44.54,22.5,8.52,12.83,2.69,0.00
14.072,184,43.82,22.8,8.59,14.45,2.59,0.00
14.116,185,44.50,22.5,7.27,12.88,4.79,0.00
14.161,186,44.57,22.4,8.78,13.95,2.84,0.00
14.205,187,44.54,22.5,7.71,13.39,2.58,0.00
14.250,188,44.51,22.5,7.38,13.10,4.86,0.00
14.295,189,44.63,22.4,9.49,14.09,3.10,0.00
14.338,190,43.89,22.8,7.23,13.45,2.44,0.00
14.383,191,44.67,22.4,8.10,13.35,4.93,0.00
14.427,192,44.19,22.6,8.34,11.97,2.80,0.00
14.473,193,45.45,22.0,9.53,14.96,2.68,0.00
14.517,194,44.35,22.6,6.84,12.76,4.89,0.00
14.562,195,44.65,22.4,8.69,14.63,2.84,0.00
14.608,196,45.73,21.9,8.39,12.90,2.65,0.00
14.651,197,43.89,22.8,7.68,11.37,4.97,0.07
14.695,198,43.64,22.9,9.88,12.64,3.13,0.00
14.739,199,43.53,23.0,7.49,12.77,2.58,0.00
14.784,200,45.38,22.0,8.18,2.84,5.16,0.00
14.828,201,43.66,22.9,7.76,14.55,0.93,0.00
14.872,202,44.33,22.6,7.96,14.64,3.56,0.00
14.916,203,44.22,22.6,6.96,15.06,5.10,0.00
14.961,204,45.09,22.2,8.51,14.44,3.70,0.00
15.006,205,44.67,22.4,8.05,13.88,2.85,0.00
15.055,206,48.93,20.4,7.03,13.51,5.23,0.00
15.094,207,39.17,25.5,8.93,13.96,3.37,0.00
15.140,208,46.22,21.6,6.72,13.26,2.69,0.00
15.183,209,42.43,23.6,7.76,9.84,5.36,0.00
15.227,210,44.70,22.4,7.40,14.87,3.18,0.00
15.272,211,44.82,22.3,7.55,13.31,2.90,0.00
15.317,212,44.49,22.5,6.69,13.82,3.69,0.15
15.360,213,43.76,22.8,9.03,14.69,3.39,0.00
15.405,214,44.74,22.4,6.96,14.03,2.69,1.14
15.450,215,44.85,22.3,7.09,12.74,5.29,0.00
15.494,216,43.97,22.7,9.11,14.76,3.38,0.00
15.539,217,45.14,22.2,6.38,14.19,2.79,0.00
15.583,218,44.16,22.6,7.72,14.09,5.42,0.00
15.628,219,44.63,22.4,7.99,13.89,3.15,0.00
15.672,220,43.80,22.8,8.18,12.83,3.02,0.00
15.716,221,44.53,22.5,7.46,13.25,5.35,0.00
15.761,222,44.77,22.3,8.17,15.02,3.24,0.00
15.805,223,44.03,22.7,8.04,14.50,2.94,0.00
15.850,224,44.56,22.4,6.98,13.32,5.36,0.00
15.894,225,44.76,22.3,9.62,14.06,3.45,0.00
15.939,226,44.31,22.6,6.52,14.03,2.86,0.00
15.983,227,44.28,22.6,7.35,11.69,5.47,0.00
16.028,228,44.77,22.3,10.10,13.81,3.27,0.00
16.072,229,43.78,22.8,7.59,13.99,3.04,0.00
16.117,230,45.11,22.2,6.68,14.38,5.39,0.00
16.161,231,44.28,22.6,7.66,15.89,3.39,0.00
16.206,232,44.99,22.2,7.31,14.23,3.66,0.00
16.250,233,43.78,22.8,6.87,13.49,5.55,0.00
16.295,234,45.40,22.0,7.95,13.96,3.61,0.00
16.339,235,43.96,22.7,6.27,14.59,3.02,0.00
16.387,236,48.33,20.7,7.44,2.83,6.67,0.00
16.429,237,41.39,24.2,7.29,12.71,1.07,0.00
16.473,238,44.58,22.4,7.54,12.80,3.20,0.00
16.518,239,44.22,22.6,7.35,5.26,5.70,0.00
16.563,240,45.61,21.9,18.66,13.69,3.65,0.00
16.606,241,43.31,23.1,8.36,13.91,3.01,0.00
16.651,242,44.87,22.3,7.48,13.68,3.04,0.00
16.696,243,44.55,22.4,11.07,11.66,3.70,0.00
16.740,244,44.46,22.5,8.61,13.46,3.09,0.00
16.785,245,44.51,22.5,8.74,13.08,3.31,0.25
16.830,246,45.20,22.1,9.30,13.65,3.51,0.00
16.874,247,43.56,23.0,8.85,13.35,3.35,0.00
16.918,248,44.03,22.7,7.49,11.92,3.11,0.00
16.963,249,45.73,21.9,10.72,11.73,3.70,0.00
17.007,250,43.63,22.9,8.10,13.02,3.12,0.00
17.052,251,44.91,22.3,7.61,14.26,3.16,0.45
17.096,252,43.88,22.8,9.00,11.83,3.75,0.00
17.140,253,44.03,22.7,8.05,14.28,3.18,0.00
17.185,254,44.87,22.3,7.68,13.40,3.35,0.27
17.229,255,44.22,22.6,8.20,13.26,3.58,0.00
17.273,256,44.45,22.5,7.76,14.09,3.27,0.00
17.318,257,44.23,22.6,7.10,5.74,3.22,0.00
17.363,258,44.89,22.3,10.20,13.57,1.84,0.00
17.408,259,45.30,22.1,6.90,2.55,0.67,0.00
17.450,260,42.52,23.5,6.98,3.51,0.00,0.00
17.495,261,44.66,22.4,8.24,2.99,1.29,0.00
17.539,262,44.23,22.6,6.85,12.39,0.68,0.00
17.584,263,45.05,22.2,7.53,14.41,3.39,0.00
17.629,264,44.56,22.4,8.18,14.13,3.58,0.00
17.673,265,44.33,22.6,7.39,14.43,3.28,0.00
17.718,266,45.08,22.2,6.79,10.89,3.17,0.00
17.762,267,44.22,22.6,10.77,13.54,3.81,0.00
17.806,268,43.59,22.9,6.96,14.59,3.19,0.00
17.850,269,44.42,22.5,7.99,10.26,3.32,0.41
17.896,270,45.84,21.8,11.32,14.16,3.92,0.00
17.941,271,44.20,22.6,6.86,14.46,3.30,0.00
17.984,272,43.97,22.7,7.66,14.40,3.50,0.00
18.031,273,46.20,21.6,8.95,12.48,3.41,0.00
18.074,274,43.00,23.3,8.52,15.06,0.00,0.00
18.119,275,45.17,22.1,7.17,3.29,3.26,0.28
18.163,276,43.78,22.8,9.04,12.10,1.45,0.00
18.206,277,43.81,22.8,7.41,2.46,3.21,0.00
18.250,278,44.05,22.7,8.11,3.63,0.73,0.00
18.295,279,44.83,22.3,9.44,14.41,1.96,0.00
18.339,280,43.76,22.9,7.03,13.70,4.41,0.00
18.385,281,46.14,21.7,7.60,16.52,3.60,0.00
18.430,282,44.32,22.6,8.54,13.38,4.58,0.33
18.473,283,43.27,23.1,7.46,15.89,3.56,0.00
18.517,284,44.60,22.4,6.94,11.03,3.47,1.83
18.563,285,45.93,21.8,9.99,14.06,4.15,0.00
18.607,286,43.72,22.9,7.32,15.10,4.50,0.00
18.651,287,44.40,22.5,8.20,13.67,4.50,0.20
18.697,288,45.11,22.2,9.78,12.31,4.18,0.00
18.741,289,44.13,22.7,7.74,12.78,3.34,0.00
18.785,290,44.18,22.6,8.09,14.59,3.62,0.22
18.830,291,44.89,22.3,8.39,1.75,7.72,0.18
18.873,292,43.71,22.9,8.05,1.05,0.61,0.00
18.917,293,43.86,22.8,7.42,1.97,0.48,0.00
18.962,294,44.33,22.6,9.75,1.65,1.26,0.00
19.007,295,45.18,22.1,7.34,0.88,0.48,0.00
19.050,296,43.45,23.0,7.73,13.30,0.52,0.00
19.096,297,45.48,22.0,9.24,13.86,4.12,0.00
19.140,298,44.65,22.4,6.97,12.98,3.38,0.00
19.185,299,44.12,22.7,7.77,14.56,3.56,0.24
19.229,300,44.64,22.4,9.40,13.12,3.84,0.00
19.273,301,43.42,23.0,8.09,0.95,3.52,0.00
19.318,302,44.95,22.2,7.31,2.07,0.45,0.00
19.363,303,45.02,22.2,9.71,13.05,1.15,0.00
19.407,304,44.39,22.5,7.06,15.34,3.32,0.00
19.450,305,43.44,23.0,6.80,11.84,3.48,0.00
19.495,306,44.71,22.4,10.22,13.35,4.09,0.00
19.542,307,46.75,21.4,7.08,13.10,3.38,0.00
19.584,308,42.17,23.7,7.88,15.15,3.59,0.00
19.629,309,45.29,22.1,7.79,13.60,3.89,0.00
19.673,310,43.57,23.0,8.37,12.89,3.65,0.31
19.717,311,44.26,22.6,7.86,13.31,3.44,0.23
19.762,312,44.89,22.3,8.77,12.68,4.11,0.00
19.807,313,44.48,22.5,7.51,13.43,3.48,0.06
19.851,314,44.18,22.6,7.44,13.14,3.44,0.36
19.896,315,44.92,22.3,9.00,14.54,4.08,0.00
19.939,316,43.59,22.9,6.97,13.85,3.44,0.00
19.984,317,45.21,22.1,7.83,13.97,3.63,0.26
20.029,318,44.88,22.3,8.21,13.75,3.89,0.00
20.073,319,43.56,23.0,8.01,15.06,3.62,0.00
20.117,320,44.20,22.6,6.73,13.37,3.50,0.00
20.162,321,45.10,22.2,9.47,12.80,4.14,0.00
20.206,322,44.09,22.7,6.58,14.18,3.39,0.00
20.250,323,44.16,22.6,6.72,13.41,3.41,0.00
20.295,324,45.00,22.2,9.78,13.32,4.02,0.00
20.339,325,43.96,22.7,6.96,14.58,3.42,0.00
20.384,326,44.45,22.5,7.51,13.71,3.60,0.00
20.429,327,45.07,22.2,8.47,13.54,3.93,0.00
20.473,328,43.95,22.8,7.65,14.37,3.64,0.00
20.517,329,44.16,22.6,6.62,13.03,3.44,0.00
20.562,330,45.22,22.1,9.35,12.24,4.07,0.00
20.606,331,43.70,22.9,7.87,14.99,3.41,0.13
20.651,332,44.63,22.4,6.71,13.65,3.54,0.00
20.695,333,44.88,22.3,8.73,13.85,4.16,0.00
20.740,334,44.06,22.7,6.81,14.52,3.51,0.00
20.784,335,44.36,22.5,7.59,13.29,3.73,0.00
20.829,336,44.69,22.4,8.68,15.03,4.04,0.00
20.873,337,44.20,22.6,8.09,15.38,3.76,0.00
20.917,338,44.37,22.5,6.85,13.18,3.52,0.00
20.962,339,44.46,22.5,9.16,14.32,4.23,0.00
21.006,340,44.37,22.5,7.04,14.77,3.60,0.00
21.051,341,44.53,22.5,6.77,14.68,3.57,0.00
21.074,342,23.34,42.8,8.09,15.00,4.16,0.00
21.096,343,22.29,44.9,7.00,14.63,3.55,0.00
21.118,344,21.77,45.9,7.51,2.54,3.77,0.00
21.140,345,22.00,45.5,8.88,2.95,4.05,0.00
21.163,346,22.78,43.9,6.17,2.98,3.16,0.00
21.184,347,21.63,46.2,7.49,3.41,3.73,0.00
21.207,348,22.49,44.5,5.76,3.94,3.17,0.00
21.230,349,22.69,44.1,6.55,2.97,3.51,0.00
21.251,350,21.53,46.4,7.03,3.37,3.64,0.00
21.273,351,22.35,44.7,7.78,3.39,3.73,0.00
21.296,352,22.78,43.9,6.25,3.32,3.17,0.00
21.318,353,21.53,46.4,6.37,4.27,3.47,0.00
21.340,354,22.06,45.3,6.23,3.59,3.14,0.00
21.362,355,22.50,44.4,7.72,2.84,2.54,0.00
21.384,356,22.16,45.1,6.80,3.12,1.88,0.00
21.413,357,28.93,34.6,6.58,3.54,2.15,0.00
21.440,358,26.71,37.4,5.88,3.95,1.87,0.00
21.462,359,21.86,45.7,6.15,3.00,2.17,0.00
21.485,360,22.64,44.2,8.61,2.49,2.37,0.00
21.507,361,22.86,43.8,15.71,3.10,2.10,0.00
21.530,362,22.20,45.0,6.24,4.43,1.86,0.00
21.552,363,22.06,45.3,7.34,3.67,2.02,0.00
21.574,364,22.44,44.6,8.67,3.21,2.23,0.00
21.597,365,22.38,44.7,7.05,3.36,1.94,0.00
21.620,366,23.18,43.1,6.26,2.76,1.76,0.00
21.641,367,21.77,45.9,7.18,1.85,2.02,0.00
21.664,368,22.36,44.7,7.93,4.17,1.78,0.00
21.686,369,22.57,44.3,8.30,2.58,2.31,0.00
21.709,370,22.29,44.9,6.35,4.65,1.78,0.00
21.732,371,23.30,42.9,6.26,2.99,1.98,0.00
21.755,372,22.67,44.1,6.96,3.54,1.75,0.00
21.777,373,22.63,44.2,8.03,2.55,2.14,0.00
21.799,374,21.66,46.2,9.06,2.05,2.59,0.00
21.821,375,22.29,44.9,8.46,3.60,4.21,0.00
21.843,376,22.25,44.9,6.50,3.10,1.75,0.00
21.866,377,22.50,44.4,6.65,2.33,2.49,0.00
21.890,378,24.31,41.1,7.10,3.83,3.49,0.00
21.913,379,22.35,44.7,8.03,4.13,2.30,0.00
21.957,380,43.92,22.8,6.37,7.58,2.23,0.00
22.001,381,44.76,22.3,7.06,1.35,1.89,0.07
22.046,382,44.73,22.4,7.42,14.48,1.64,0.00
22.090,383,43.91,22.8,6.80,13.49,1.86,0.00
22.134,384,44.46,22.5,8.52,13.90,2.21,0.00
22.179,385,44.62,22.4,8.54,13.96,2.07,0.00
22.224,386,44.53,22.5,7.05,14.39,1.87,0.00
22.257,387,33.05,30.3,9.37,14.20,2.39,0.00
22.279,388,22.41,44.6,7.39,15.16,1.89,0.00
22.301,389,22.05,45.4,7.14,13.51,1.91,0.00
22.323,390,22.13,45.2,9.23,4.16,2.36,0.00
22.346,391,22.43,44.6,6.52,3.17,1.65,0.00
22.368,392,22.05,45.4,7.62,3.02,1.97,0.00
22.390,393,22.39,44.7,6.33,4.50,1.66,0.00
22.413,394,22.48,44.5,7.07,3.53,1.87,0.00
22.434,395,21.47,46.6,7.67,2.87,2.04,0.00
22.457,396,22.81,43.8,7.46,2.38,1.86,0.00
22.481,397,23.72,42.2,7.19,3.46,1.66,0.00
22.502,398,21.77,45.9,6.54,3.32,1.83,0.00
22.525,399,22.81,43.8,6.72,3.78,1.66,0.00
22.548,400,22.55,44.3,8.37,3.20,2.24,0.00
22.569,401,21.73,46.0,5.99,3.61,1.62,0.00
22.592,402,22.55,44.3,8.26,2.97,2.00,0.00
22.616,403,23.89,41.9,7.55,2.39,1.62,0.00
22.638,404,21.85,45.8,7.29,2.16,1.79,0.00
22.661,405,22.91,43.7,8.17,2.69,1.98,0.00
22.683,406,22.63,44.2,8.61,1.96,2.50,0.00
22.708,407,24.94,40.1,6.24,2.82,1.60,0.00
22.732,408,23.59,42.4,7.76,1.67,1.84,0.00
22.755,409,23.28,43.0,7.44,3.55,1.62,0.00
22.799,410,44.08,22.7,10.58,2.09,2.39,0.00
22.843,411,44.13,22.7,7.30,0.88,1.61,0.00
22.889,412,45.36,22.0,7.58,13.71,0.24,0.00
22.933,413,44.13,22.7,7.50,13.38,2.15,0.00
22.978,414,44.77,22.3,10.57,13.42,2.80,0.00
23.022,415,44.42,22.5,7.58,12.87,1.83,0.00
23.067,416,44.95,22.2,8.78,12.23,4.17,0.00
23.111,417,43.66,22.9,9.40,12.35,2.17,0.00
23.155,418,44.38,22.5,7.73,13.34,1.87,0.00
23.199,419,44.59,22.4,8.61,10.60,2.00,2.39
23.245,420,45.30,22.1,10.27,13.26,2.58,0.00
23.288,421,43.13,23.2,8.52,13.13,1.96,0.00
23.333,422,44.64,22.4,7.76,12.12,1.85,0.00
23.377,423,44.24,22.6,10.43,13.10,2.28,0.00
23.421,424,44.51,22.5,6.93,13.27,1.84,0.00
23.466,425,44.39,22.5,7.98,13.82,2.02,0.00
23.510,426,44.61,22.4,7.78,13.89,2.12,0.00
23.555,427,44.52,22.5,6.94,13.61,1.82,0.00
23.599,428,43.89,22.8,7.69,13.23,1.99,0.00
23.647,429,48.30,20.7,9.18,13.57,2.09,0.00
23.687,430,40.22,24.9,7.78,13.56,1.99,0.00
23.733,431,45.54,22.0,6.97,12.44,1.86,0.00
23.777,432,44.07,22.7,9.85,12.11,2.30,1.11
23.822,433,45.14,22.2,7.26,14.44,2.45,0.00
23.866,434,44.11,22.7,8.88,11.88,2.03,0.00
23.910,435,44.29,22.6,9.43,14.59,2.08,0.00
23.954,436,44.01,22.7,7.91,13.94,1.81,0.00
23.999,437,44.56,22.4,8.67,11.54,1.94,0.00
24.043,438,44.29,22.6,10.44,13.06,2.07,0.00
24.089,439,45.38,22.0,8.32,13.14,1.97,0.00
24.132,440,43.73,22.9,7.68,12.99,1.81,0.00
24.176,441,43.86,22.8,9.54,14.07,2.29,0.00
24.221,442,44.63,22.4,7.37,14.16,1.84,0.00
24.265,443,44.35,22.5,8.02,13.03,2.01,0.00
24.310,444,44.37,22.5,8.29,15.32,2.05,0.00
24.354,445,44.61,22.4,6.88,16.03,1.81,0.00
24.398,446,44.22,22.6,7.75,13.82,2.01,0.00
24.444,447,45.36,22.0,8.20,15.23,2.77,0.00
24.488,448,44.29,22.6,7.96,14.26,2.62,0.00
24.511,449,23.39,42.8,7.57,14.65,4.92,0.00
24.534,450,22.46,44.5,8.96,13.54,2.91,0.00
24.555,451,21.36,46.8,7.28,3.00,2.39,0.00
24.578,452,22.92,43.6,8.72,2.69,2.70,0.00
24.600,453,22.29,44.9,7.83,2.28,3.09,0.00
24.623,454,22.53,44.4,7.06,4.11,4.40,0.00
24.647,455,23.73,42.1,6.41,2.68,2.25,0.00
24.668,456,21.11,47.4,7.10,1.61,3.06,0.00
24.713,457,44.92,22.3,7.58,2.80,4.63,0.00
24.757,458,44.13,22.7,9.07,2.23,2.98,0.00
24.802,459,45.25,22.1,6.36,15.28,2.76,0.00
24.847,460,44.71,22.4,7.36,13.90,2.19,0.00
24.891,461,44.18,22.6,7.72,14.18,2.35,0.00
24.935,462,44.36,22.5,8.67,13.31,2.52,0.00
