t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs
4.867,0,4866.87,0.2,0.00,0.00,0.00,0.00
6.021,1,1153.81,0.9,0.00,0.00,0.00,0.00
6.330,2,309.31,3.2,0.00,0.00,0.00,0.00
6.761,3,431.03,2.3,0.18,8.05,0.00,0.00
7.154,4,392.90,2.5,215.49,2.83,0.00,0.00
7.575,5,421.50,2.4,31.27,7.73,0.78,0.00
7.996,6,420.78,2.4,26.07,154.77,0.89,0.00
8.420,7,423.42,2.4,25.08,198.93,4.44,1.68
8.530,8,110.67,9.0,8.08,202.43,7.43,0.00
8.641,9,110.81,9.0,7.99,201.58,15.37,2.69
8.686,10,44.51,22.5,8.19,48.39,8.02,0.00
8.730,11,44.42,22.5,8.27,41.11,8.43,1.97
8.773,12,43.37,23.1,8.12,9.31,8.66,7.74
8.817,13,43.95,22.8,8.85,11.51,8.49,5.59
8.864,14,46.50,21.5,7.21,11.93,14.57,5.22
8.906,15,42.36,23.6,6.98,14.15,6.52,3.46
8.951,16,45.29,22.1,7.45,10.99,14.05,5.58
9.018,17,66.25,15.1,7.29,11.23,7.22,3.89
9.084,18,66.50,15.0,6.14,13.43,1.12,3.82
9.151,19,66.52,15.0,8.12,27.14,1.53,0.00
9.196,20,45.05,22.2,6.56,25.12,1.13,2.75
9.239,21,43.70,22.9,7.56,25.17,1.49,0.00
9.284,22,44.38,22.5,6.91,14.33,1.26,0.00
9.306,23,22.36,44.7,6.48,13.56,1.35,0.00
9.329,24,23.03,43.4,6.97,14.23,1.30,0.00
9.351,25,21.41,46.7,6.58,2.67,1.13,0.00
9.373,26,22.20,45.0,6.37,2.19,1.61,0.03
9.396,27,22.89,43.7,7.01,2.75,0.96,0.00
9.417,28,21.73,46.0,6.12,3.85,1.10,0.00
9.440,29,22.25,45.0,5.56,3.42,0.97,0.00
9.462,30,22.39,44.7,6.60,2.80,1.11,0.00
9.484,31,21.96,45.5,7.06,2.33,1.30,0.14
9.506,32,22.27,44.9,6.33,2.06,1.11,0.00
9.529,33,22.79,43.9,6.80,3.44,0.97,0.00
9.551,34,21.53,46.4,6.03,1.50,1.11,0.00
9.573,35,22.34,44.8,6.53,2.89,0.95,0.00
9.596,36,22.56,44.3,6.85,2.61,1.28,0.00
9.618,37,21.96,45.5,5.86,4.43,0.96,0.00
9.640,38,22.55,44.3,5.94,2.46,1.42,0.00
9.663,39,22.60,44.2,6.35,2.89,0.97,0.00
9.685,40,21.82,45.8,6.87,2.38,1.32,0.00
9.707,41,22.37,44.7,6.08,3.30,1.46,0.00
9.729,42,22.54,44.4,6.38,2.89,1.09,0.00
9.751,43,21.80,45.9,5.77,2.56,0.96,0.00
9.774,44,22.54,44.4,7.01,2.99,1.56,0.00
9.796,45,22.22,45.0,6.06,2.82,0.97,0.00
9.818,46,22.49,44.5,6.72,3.42,1.27,0.00
9.841,47,22.11,45.2,5.66,2.63,0.96,0.00
9.862,48,21.60,46.3,6.67,1.52,1.10,0.05
9.885,49,22.39,44.7,6.93,3.77,0.95,0.00
9.907,50,22.16,45.1,6.08,2.28,1.38,0.00
9.929,51,22.59,44.3,6.81,3.56,1.17,0.00
9.951,52,21.95,45.6,6.36,2.22,1.08,0.00
9.974,53,22.74,44.0,6.62,3.60,1.25,0.00
9.996,54,22.32,44.8,6.16,2.04,1.06,0.00
10.018,55,21.61,46.3,6.34,3.24,0.95,0.00
10.041,56,22.66,44.1,6.37,1.94,1.38,0.00
10.062,57,21.71,46.1,6.45,3.06,0.97,0.00
10.085,58,22.31,44.8,6.74,3.10,1.29,0.00
10.107,59,22.19,45.1,5.94,3.05,0.96,0.31
10.129,60,22.33,44.8,6.45,3.58,1.11,0.00
10.152,61,22.35,44.7,6.52,3.26,1.23,0.00
10.173,62,21.99,45.5,6.15,2.14,1.13,0.00
10.196,63,22.38,44.7,6.60,2.88,0.97,0.00
10.218,64,22.14,45.2,7.12,2.98,1.09,0.00
10.240,65,22.19,45.1,5.42,4.77,0.97,0.00
10.263,66,22.79,43.9,6.71,2.07,1.30,0.17
10.285,67,21.57,46.4,6.78,3.40,0.96,0.00
10.307,68,22.10,45.2,6.01,2.72,1.11,0.00
10.329,69,22.66,44.1,6.10,2.56,0.96,0.00
10.351,70,21.82,45.8,6.83,3.45,1.13,0.00
10.373,71,22.28,44.9,6.92,3.15,1.32,0.00
10.396,72,22.48,44.5,6.48,1.92,1.13,0.00
10.419,73,22.97,43.5,6.00,3.92,0.97,0.00
10.442,74,22.91,43.6,5.74,2.62,1.13,0.00
10.463,75,21.59,46.3,5.95,3.10,0.97,0.00
10.485,76,22.08,45.3,8.46,2.92,1.52,0.00
10.508,77,22.43,44.6,5.73,2.89,0.97,0.00
10.530,78,22.35,44.7,6.70,3.29,1.12,0.00
10.553,79,23.04,43.4,5.67,3.42,0.95,0.00
10.575,80,21.95,45.6,6.75,3.97,1.57,0.00
10.598,81,22.68,44.1,6.60,2.40,1.18,0.00
10.620,82,22.24,45.0,6.29,3.34,1.06,0.25
10.642,83,21.90,45.7,5.58,4.35,0.95,0.00
10.664,84,22.43,44.6,6.49,1.80,1.09,0.00
10.687,85,22.04,45.4,6.83,2.85,0.97,0.63
10.709,86,22.19,45.1,6.28,2.76,1.57,0.00
10.731,87,22.31,44.8,6.14,3.99,0.96,0.00
10.753,88,22.30,44.8,5.54,1.80,3.74,0.58
10.776,89,22.20,45.1,6.67,3.60,1.45,0.00
10.798,90,22.59,44.3,6.42,3.57,1.61,0.00
10.820,91,21.77,45.9,6.09,2.80,1.75,0.00
10.842,92,22.28,44.9,6.07,2.30,1.66,0.00
10.865,93,22.36,44.7,6.26,2.78,1.45,0.00
10.886,94,21.83,45.8,6.88,3.03,1.81,0.18
10.909,95,22.71,44.0,5.83,3.19,1.82,0.00
10.931,96,22.42,44.6,7.11,3.19,1.85,0.00
10.954,97,22.04,45.4,5.76,2.41,1.45,0.00
10.976,98,22.13,45.2,6.91,2.78,1.78,0.00
10.998,99,22.54,44.4,6.12,3.44,1.47,0.00
11.020,100,22.05,45.4,6.25,2.60,1.63,0.27
11.042,101,22.03,45.4,6.02,2.83,1.73,0.00
11.065,102,22.52,44.4,7.24,2.27,1.66,0.00
11.087,103,22.00,45.4,6.45,3.23,1.45,0.00
11.109,104,22.19,45.1,6.04,1.85,1.63,0.00
11.131,105,22.28,44.9,6.34,3.48,1.46,0.00
11.153,106,22.22,45.0,6.22,1.65,4.02,0.00
11.175,107,22.01,45.4,6.80,3.33,1.46,0.00
11.198,108,22.79,43.9,6.26,3.85,1.62,0.00
11.220,109,22.04,45.4,5.26,4.01,1.46,0.00
11.242,110,21.91,45.6,5.85,3.99,1.71,0.00
11.265,111,22.71,44.0,6.22,3.11,1.78,0.00
11.287,112,21.91,45.7,6.73,3.12,1.77,0.00
11.309,113,22.34,44.8,5.54,3.18,1.46,0.00
11.331,114,22.23,45.0,6.76,3.72,1.59,0.00
11.354,115,22.20,45.0,5.22,3.41,1.45,0.00
11.381,116,27.02,37.0,7.18,3.62,2.21,0.00
11.409,117,28.36,35.3,5.45,3.98,1.48,0.00
11.432,118,23.06,43.4,6.17,1.57,1.69,0.00
11.454,119,21.88,45.7,6.05,3.31,1.47,0.00
11.499,120,44.77,22.3,16.76,3.73,2.28,0.00
11.543,121,44.35,22.6,8.51,2.97,1.83,0.00
11.587,122,44.30,22.6,6.70,15.20,3.77,0.00
11.632,123,44.50,22.5,6.67,14.13,1.49,0.00
11.654,124,21.98,45.5,7.72,14.51,1.87,0.00
11.676,125,22.50,44.4,7.86,15.24,1.97,0.00
11.699,126,22.48,44.5,6.96,3.71,3.71,0.00
11.720,127,21.37,46.8,7.45,4.72,3.46,0.00
11.743,128,22.58,44.3,7.43,3.20,1.81,0.00
11.766,129,23.40,42.7,7.27,1.81,1.76,0.00
11.789,130,23.23,43.1,6.59,5.46,3.61,0.00
11.812,131,22.72,44.0,6.28,4.14,2.19,0.00
11.834,132,21.94,45.6,6.61,2.67,1.54,0.00
11.873,133,39.11,25.6,9.34,2.51,2.10,0.00
11.904,134,30.66,32.6,7.79,2.35,1.53,0.00
11.928,135,23.71,42.2,7.76,2.94,1.72,0.00
11.950,136,22.34,44.8,6.42,6.98,1.52,0.43
11.987,137,36.68,27.3,17.47,4.37,3.29,1.05
12.028,138,41.68,24.0,7.13,2.23,1.56,0.00
12.072,139,43.95,22.8,8.87,3.56,1.75,0.00
12.117,140,44.71,22.4,6.43,9.61,1.54,0.34
12.161,141,43.96,22.7,11.58,13.04,2.28,0.00
12.206,142,44.86,22.3,7.94,13.73,1.79,0.00
12.250,143,44.68,22.4,7.50,13.20,3.94,0.00
12.295,144,44.72,22.4,9.79,13.61,2.28,0.00
12.339,145,43.75,22.9,8.41,13.52,1.82,0.00
12.384,146,44.73,22.4,8.90,13.32,2.00,0.00
12.428,147,44.37,22.5,9.76,12.52,2.15,1.08
12.472,148,44.53,22.5,8.80,13.88,2.05,0.00
12.517,149,44.66,22.4,7.36,9.82,4.13,0.00
12.561,150,44.07,22.7,10.51,13.05,2.28,0.00
12.606,151,44.47,22.5,9.03,12.23,2.08,0.00
12.650,152,44.02,22.7,8.73,11.86,1.94,1.19
12.695,153,44.90,22.3,10.38,13.20,2.41,0.00
12.739,154,44.25,22.6,8.23,13.39,1.90,0.00
12.783,155,44.42,22.5,7.94,14.17,2.08,1.43
12.828,156,44.31,22.6,7.76,13.32,2.19,0.00
12.872,157,44.36,22.5,8.59,12.88,2.11,0.00
12.917,158,44.60,22.4,8.00,13.01,4.19,0.00
12.961,159,44.51,22.5,8.98,13.09,2.31,0.00
13.006,160,44.66,22.4,8.66,14.64,2.11,0.00
13.050,161,44.39,22.5,7.35,12.35,2.02,0.26
13.094,162,44.08,22.7,10.27,13.48,2.62,0.00
13.139,163,44.80,22.3,7.99,13.01,2.07,0.00
13.183,164,44.40,22.5,8.52,13.13,4.51,0.32
13.228,165,44.51,22.5,8.74,13.06,2.35,0.00
13.272,166,43.89,22.8,8.64,13.54,2.32,0.00
13.316,167,44.71,22.4,7.64,13.37,4.42,0.00
