t_s,frame,dtMs,fps,cpuMainMs,cpuRenderMs,gpuMs,presentWaitMs,gc0,gc1,gc2
5.032,0,5032.47,0.2,0.00,0.00,0.00,0.00,412,412,412
8.401,1,3368.45,0.3,0.00,0.00,0.00,0.00,412,412,412
8.695,2,293.79,3.4,0.00,0.00,0.00,0.00,413,413,413
9.084,3,389.58,2.6,0.04,2.31,0.00,0.00,413,413,413
9.515,4,430.74,2.3,2387.02,1.21,0.00,1.37,413,413,413
9.929,5,413.84,2.4,43.12,1.17,0.22,0.00,413,413,413
10.350,6,420.84,2.4,10.88,201.88,0.24,4.26,413,413,413
10.773,7,422.93,2.4,6.19,196.62,7.90,2.65,413,413,413
10.883,8,110.45,9.1,8.07,202.39,19.99,6.57,413,413,413
10.993,9,110.11,9.1,6.15,202.53,11.65,1.41,413,413,413
11.082,10,88.88,11.3,5.75,41.71,11.30,0.00,413,413,413
11.172,11,89.78,11.1,11.39,43.42,11.20,1.58,413,413,413
11.238,12,65.80,15.2,6.56,28.26,11.96,4.86,413,413,413
11.304,13,66.25,15.1,10.83,34.01,0.95,1.37,413,413,413
11.371,14,66.83,15.0,6.93,20.78,0.95,4.71,413,413,413
11.415,15,44.12,22.7,6.34,25.15,0.95,2.80,413,413,413
11.459,16,44.57,22.4,6.76,26.25,0.95,0.00,413,413,413
11.504,17,44.26,22.6,6.20,13.73,0.95,0.00,413,413,413
11.537,18,33.28,30.0,6.24,15.18,0.95,1.09,413,413,413
11.559,19,22.21,45.0,5.89,14.73,0.95,0.00,413,413,413
11.581,20,22.25,44.9,6.54,15.09,0.95,0.00,413,413,413
11.604,21,22.75,44.0,6.17,3.87,0.95,0.00,413,413,413
11.626,22,21.88,45.7,6.13,2.32,0.95,0.00,413,413,413
11.649,23,22.65,44.2,6.65,3.93,0.95,0.00,413,413,413
11.671,24,22.13,45.2,6.44,2.87,0.95,0.00,413,413,413
11.693,25,21.74,46.0,6.46,3.83,0.95,0.00,413,413,413
11.715,26,22.58,44.3,5.98,3.00,0.95,0.00,413,413,413
11.737,27,21.90,45.7,6.39,3.03,0.95,0.33,413,413,413
11.759,28,22.15,45.2,6.43,4.37,0.95,0.00,413,413,413
11.782,29,22.54,44.4,5.99,3.52,0.95,0.00,413,413,413
11.804,30,22.22,45.0,6.17,4.05,0.95,0.00,413,413,413
11.826,31,22.29,44.9,6.25,3.28,0.95,0.00,413,413,413
11.848,32,22.13,45.2,6.76,3.43,0.95,0.00,413,413,413
11.871,33,22.45,44.5,6.74,2.76,0.95,0.00,413,413,413
11.893,34,21.85,45.8,5.94,3.91,0.95,0.00,413,413,413
11.915,35,22.50,44.4,5.94,3.72,0.95,0.00,413,413,413
11.937,36,21.76,46.0,6.19,3.82,0.95,0.00,413,413,413
11.959,37,22.06,45.3,5.58,3.97,0.95,0.00,413,413,413
11.981,38,22.42,44.6,5.66,3.43,0.95,0.00,413,413,413
12.004,39,22.08,45.3,6.25,4.71,0.95,0.00,413,413,413
12.026,40,22.35,44.7,5.23,4.52,0.95,0.00,413,413,413
12.048,41,22.30,44.8,5.72,4.15,0.95,0.00,413,413,413
12.071,42,22.32,44.8,5.95,4.28,0.95,0.00,413,413,413
12.093,43,22.20,45.0,5.89,4.35,0.95,0.00,413,413,413
12.115,44,21.96,45.5,5.86,4.08,0.95,0.00,413,413,413
12.137,45,22.24,45.0,6.11,3.76,0.95,0.00,413,413,413
12.159,46,22.04,45.4,6.05,4.25,0.95,0.00,413,413,413
12.181,47,22.50,44.4,5.58,3.88,0.95,0.00,413,413,413
12.204,48,22.13,45.2,5.54,4.03,0.95,0.00,413,413,413
12.226,49,22.38,44.7,5.95,4.27,0.95,0.00,413,413,413
12.248,50,22.08,45.3,5.66,3.77,0.95,0.13,413,413,413
12.271,51,22.47,44.5,6.44,3.65,0.95,0.00,413,413,413
12.293,52,22.16,45.1,6.50,4.07,0.95,0.00,413,413,413
12.315,53,22.28,44.9,5.93,3.54,0.95,0.00,413,413,413
12.337,54,21.95,45.6,6.35,3.33,0.95,0.00,413,413,413
12.359,55,22.27,44.9,6.72,4.06,0.95,0.00,413,413,413
12.382,56,22.76,43.9,5.73,3.01,0.95,0.00,413,413,413
12.404,57,21.88,45.7,6.70,4.03,0.95,0.00,413,413,413
12.426,58,22.27,44.9,6.25,3.78,0.95,0.00,413,413,413
12.448,59,21.88,45.7,6.07,3.19,0.95,0.27,413,413,413
12.470,60,22.28,44.9,6.33,3.74,0.95,0.00,413,413,413
12.493,61,22.72,44.0,6.23,3.55,0.94,0.00,413,413,413
12.515,62,21.60,46.3,5.48,3.44,0.94,0.00,413,413,413
12.537,63,22.78,43.9,6.44,3.63,0.95,0.00,413,413,413
12.562,64,24.65,40.6,6.61,3.89,0.95,0.00,413,413,413
12.585,65,22.97,43.5,5.73,3.98,0.95,0.00,413,413,413
12.606,66,21.39,46.8,6.49,1.02,0.95,0.00,413,413,413
12.629,67,22.41,44.6,5.66,3.40,0.95,0.00,413,413,413
12.651,68,22.37,44.7,5.99,3.04,0.94,0.44,413,413,413
12.673,69,22.05,45.3,5.91,3.76,0.95,0.00,413,413,413
12.696,70,23.25,43.0,6.05,3.60,0.95,0.00,413,413,413
12.718,71,21.38,46.8,5.61,4.02,0.95,0.00,413,413,413
12.740,72,22.04,45.4,5.75,2.93,0.95,0.17,413,413,413
12.762,73,22.53,44.4,6.72,2.28,2.01,0.08,413,413,413
12.786,74,23.59,42.4,6.55,3.97,0.95,0.00,413,413,413
12.806,75,20.48,48.8,5.90,3.32,0.95,0.00,413,413,413
12.829,76,22.24,45.0,5.75,4.21,0.94,0.00,413,413,413
12.851,77,22.38,44.7,6.86,1.94,1.43,0.00,413,413,413
12.873,78,22.05,45.3,6.13,3.55,1.44,0.00,413,413,413
12.895,79,22.09,45.3,6.15,3.44,1.43,0.13,413,413,413
12.918,80,22.70,44.0,5.52,3.97,1.43,0.00,413,413,413
12.940,81,21.77,45.9,5.90,1.81,1.44,0.21,413,413,413
12.962,82,22.62,44.2,7.06,3.73,3.07,0.10,413,413,413
12.985,83,22.26,44.9,5.83,3.45,1.44,0.00,413,413,413
13.006,84,21.72,46.0,5.96,3.56,1.44,0.17,413,413,413
13.029,85,22.20,45.0,5.96,3.43,3.04,0.00,413,413,413
13.051,86,22.74,44.0,5.80,3.78,1.45,0.00,413,413,413
13.073,87,22.21,45.0,5.87,3.48,1.45,0.00,413,413,413
13.095,88,21.84,45.8,6.39,2.88,1.45,0.00,413,413,413
13.118,89,22.52,44.4,7.05,2.73,1.45,0.00,413,413,413
13.140,90,21.90,45.7,5.83,3.54,1.45,0.00,413,413,413
13.162,91,22.12,45.2,6.23,3.90,1.45,0.32,413,413,413
13.185,92,22.67,44.1,5.65,4.17,1.45,0.00,413,413,413
13.206,93,21.78,45.9,5.63,3.89,1.45,0.00,413,413,413
13.229,94,22.23,45.0,5.92,4.29,3.11,0.00,413,413,413
13.251,95,22.53,44.4,5.47,4.14,1.47,0.00,413,413,413
13.273,96,21.86,45.7,5.76,3.85,1.47,0.00,413,413,413
13.296,97,22.59,44.3,6.07,4.25,1.47,0.00,413,413,413
13.318,98,22.29,44.9,5.41,4.16,1.47,0.00,413,413,413
13.340,99,21.94,45.6,5.64,4.13,1.47,0.18,413,413,413
13.362,100,22.17,45.1,6.06,2.96,1.47,0.00,413,413,413
13.384,101,22.45,44.5,6.61,4.15,1.47,0.00,413,413,413
13.406,102,22.03,45.4,5.70,3.23,1.47,0.00,413,413,413
13.429,103,22.16,45.1,5.76,3.35,1.47,0.00,413,413,413
13.451,104,22.39,44.7,5.60,4.29,1.47,0.00,413,413,413
13.473,105,22.12,45.2,5.68,3.66,1.47,0.00,413,413,413
13.495,106,22.32,44.8,6.13,4.11,3.53,0.00,413,413,413
13.518,107,22.70,44.1,5.50,4.20,1.47,0.00,413,413,413
13.540,108,21.65,46.2,5.74,4.17,1.47,0.17,413,413,413
13.562,109,22.65,44.2,5.71,3.24,3.12,0.23,413,413,413
13.586,110,23.59,42.4,6.07,3.62,1.47,0.00,413,413,413
13.607,111,21.31,46.9,5.92,3.15,1.47,0.00,413,413,413
13.629,112,22.17,45.1,6.14,3.68,1.47,0.00,413,413,413
13.653,113,23.05,43.4,5.61,2.13,1.49,0.00,413,413,413
13.677,114,24.73,40.4,6.20,2.93,1.49,0.19,413,413,413
13.702,115,24.87,40.2,6.32,2.88,1.49,0.00,413,413,413
13.732,116,29.56,33.8,5.85,2.33,1.49,0.00,414,414,414
13.753,117,21.25,47.1,5.84,1.40,1.49,0.00,414,414,414
13.775,118,21.83,45.8,7.25,1.12,1.49,0.00,414,414,414
13.797,119,22.39,44.7,12.38,1.41,1.49,0.29,414,414,414
13.819,120,21.90,45.7,13.62,3.89,1.49,0.00,414,414,414
13.841,121,22.30,44.8,6.13,3.41,1.50,0.00,414,414,414
13.875,122,33.53,29.8,6.99,3.11,1.51,0.00,414,414,414
13.920,123,44.67,22.4,6.71,3.78,1.51,0.00,414,414,414
13.964,124,44.21,22.6,6.48,3.22,1.51,0.00,414,414,414
14.008,125,44.66,22.4,6.44,14.77,1.51,0.00,414,414,414
14.042,126,33.55,29.8,6.74,14.08,1.51,0.00,414,414,414
14.064,127,22.02,45.4,7.09,14.67,1.51,0.00,414,414,414
14.086,128,22.43,44.6,6.67,14.64,1.54,0.00,414,414,414
14.109,129,22.18,45.1,6.99,3.24,1.55,0.00,414,414,414
