UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;InterBlinkInterval;Gaze;PupilDiameter;accelerationJerk;brakingJerk;followDistance;corneringSpeed;takeoverProbability;speedBelowLimit
P0;implicit;1;2026-07-28 01:50:11;1;sampling;TRUE;-0.003;-0.042;-0.025;0.068;0.225;0.699;0.063;0.375;0.03
P0;implicit;1;2026-07-28 01:50:51;2;sampling;FALSE;-0.001;-0.012;-0.007;0.147;0.339;0.27;0.273;0.69;0.389
P0;implicit;1;2026-07-28 01:51:31;3;sampling;FALSE;-0.002;-0.029;-0.017;0.786;0.644;0.202;0.634;0.055;0.005
