UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;HeartRate;RMSSD;accelerationJerk;brakingJerk;followDistance;corneringSpeed;takeoverProbability;speedBelowLimit
P0;pilot;0;2026-07-14 23:44:57;1;sampling;TRUE;0.054;-0.027;0.068;0.225;0.699;0.063;0.375;0.03
P0;pilot;0;2026-07-14 23:45:02;2;sampling;TRUE;0.046;-0.023;0.147;0.339;0.27;0.273;0.69;0.389
P0;pilot;0;2026-07-14 23:45:07;3;sampling;TRUE;0.104;-0.052;0.786;0.644;0.202;0.634;0.055;0.005
