UserID;ConditionID;GroupID;Timestamp;Iteration;Phase;IsPareto;InterBlinkInterval;Gaze;PupilDiameter;accelerationJerk;brakingJerk;followDistance;corneringSpeed;takeoverProbability;speedBelowLimit
P0;implicit;1;2026-07-27 21:24:02;1;sampling;FALSE;-0.002;-0.04;-0.024;0.068;0.225;0.699;0.063;0.375;0.03
P0;implicit;1;2026-07-27 21:25:02;2;sampling;FALSE;-0.004;-0.059;-0.035;0.147;0.339;0.27;0.273;0.69;0.389
